,song name,Song id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,Vista Al Mar,7iwJOi3hlMqZt6pj1sQOBj,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915, audio_features, 7iwJOi3hlMqZt6pj1sQOBj, spotify:track:7iwJOi3hlMqZt6pj1sQOBj, https://api.spotify.com/v1/tracks/7iwJOi3hlMqZt6pj1sQOBj, https://api.spotify.com/v1/audio-analysis/7iwJOi3hlMqZt6pj1sQOBj,180673, 4}]
2,Sin Seï¿½ï,1Y62KpDaP5MEL43ZcI6IaG,0.822,0.851,11,-3.314,0,0.0422,0.333,0.00792,0.105,0.749,117.992, audio_features, 1Y62KpDaP5MEL43ZcI6IaG, spotify:track:1Y62KpDaP5MEL43ZcI6IaG, https://api.spotify.com/v1/tracks/1Y62KpDaP5MEL43ZcI6IaG, https://api.spotify.com/v1/audio-analysis/1Y62KpDaP5MEL43ZcI6IaG,185085, 4}]
3,Quedate,1PToyJRb5jf5liPRUUYCjY,0.488,0.906,10,-0.026,1,0.0497,0.0172,0.00559,0.588,0.624,151.063, audio_features, 1PToyJRb5jf5liPRUUYCjY, spotify:track:1PToyJRb5jf5liPRUUYCjY, https://api.spotify.com/v1/tracks/1PToyJRb5jf5liPRUUYCjY, https://api.spotify.com/v1/audio-analysis/1PToyJRb5jf5liPRUUYCjY,166400, 4}]
4,Cayï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ La Noche (fe,0Bv7O6fmZk3GrNQFYJaXPn,0.672,0.745,5,-5.269,0,0.3,0.438,9.29E-06,0.0699,0.739,173.974, audio_features, 0Bv7O6fmZk3GrNQFYJaXPn, spotify:track:0Bv7O6fmZk3GrNQFYJaXPn, https://api.spotify.com/v1/tracks/0Bv7O6fmZk3GrNQFYJaXPn, https://api.spotify.com/v1/audio-analysis/0Bv7O6fmZk3GrNQFYJaXPn,413111, 4}]
5,Ahora y Siempre,4iaNmAvcZ6sPGvgZ6vQQdx,0.659,0.629,4,-7.86,1,0.0825,0.716,0,0.422,0.416,118.964, audio_features, 4iaNmAvcZ6sPGvgZ6vQQdx, spotify:track:4iaNmAvcZ6sPGvgZ6vQQdx, https://api.spotify.com/v1/tracks/4iaNmAvcZ6sPGvgZ6vQQdx, https://api.spotify.com/v1/audio-analysis/4iaNmAvcZ6sPGvgZ6vQQdx,149275, 4}]
6,Piel de Cordero,04d4GpLedinwpfctvgOIhY,0.827,0.541,11,-10.743,0,0.225,0.46,4.42E-05,0.0948,0.256,128.028, audio_features, 04d4GpLedinwpfctvgOIhY, spotify:track:04d4GpLedinwpfctvgOIhY, https://api.spotify.com/v1/tracks/04d4GpLedinwpfctvgOIhY, https://api.spotify.com/v1/audio-analysis/04d4GpLedinwpfctvgOIhY,213647, 4}]
7,Si Quieren Frontear,6bQ5823aHmFVKLZW8E7rRo,0.789,0.837,10,-3.247,1,0.23,0.125,0,0.209,0.476,81.536, audio_features, 6bQ5823aHmFVKLZW8E7rRo, spotify:track:6bQ5823aHmFVKLZW8E7rRo, https://api.spotify.com/v1/tracks/6bQ5823aHmFVKLZW8E7rRo, https://api.spotify.com/v1/audio-analysis/6bQ5823aHmFVKLZW8E7rRo,200337, 4}]
8,FERNET,2GVahxIzxivfRZc8lR39Ms,0.71,0.738,6,-4.077,0,0.0861,0.156,0,0.0661,0.608,98.958, audio_features, 2GVahxIzxivfRZc8lR39Ms, spotify:track:2GVahxIzxivfRZc8lR39Ms, https://api.spotify.com/v1/tracks/2GVahxIzxivfRZc8lR39Ms, https://api.spotify.com/v1/audio-analysis/2GVahxIzxivfRZc8lR39Ms,192668, 4}]
9,Villano Antillano: Bzrp Music Sessions  Vol. 51,4hceSKjrkDTO0nMKFcb3sj,0.82,0.752,1,-7.635,0,0.0648,0.0584,0.00417,0.628,0.423,127.999, audio_features, 4hceSKjrkDTO0nMKFcb3sj, spotify:track:4hceSKjrkDTO0nMKFcb3sj, https://api.spotify.com/v1/tracks/4hceSKjrkDTO0nMKFcb3sj, https://api.spotify.com/v1/audio-analysis/4hceSKjrkDTO0nMKFcb3sj,187500, 4}]
10,Universitaria,3durq4YUSFRaeoodpfHBmJ,0.658,0.679,10,-8.341,0,0.137,0.574,0,0.426,0.723,90.011, audio_features, 3durq4YUSFRaeoodpfHBmJ, spotify:track:3durq4YUSFRaeoodpfHBmJ, https://api.spotify.com/v1/tracks/3durq4YUSFRaeoodpfHBmJ, https://api.spotify.com/v1/audio-analysis/3durq4YUSFRaeoodpfHBmJ,133022, 4}]
11,Si Quieren Frontear,3MBNAfBXIq9fI2Sez8EcNX,0.789,0.837,10,-3.247,1,0.23,0.125,0,0.209,0.476,81.536, audio_features, 3MBNAfBXIq9fI2Sez8EcNX, spotify:track:3MBNAfBXIq9fI2Sez8EcNX, https://api.spotify.com/v1/tracks/3MBNAfBXIq9fI2Sez8EcNX, https://api.spotify.com/v1/audio-analysis/3MBNAfBXIq9fI2Sez8EcNX,200337, 4}]
12,Quevedo Session #52 Vs Algo Me Gusta de Tï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,1gpLw5iM7tY2TrAd3jcmWK,0.53,0.712,11,-6.258,0,0.0394,0.00199,0,0.198,0.354,128.077, audio_features, 1gpLw5iM7tY2TrAd3jcmWK, spotify:track:1gpLw5iM7tY2TrAd3jcmWK, https://api.spotify.com/v1/tracks/1gpLw5iM7tY2TrAd3jcmWK, https://api.spotify.com/v1/audio-analysis/1gpLw5iM7tY2TrAd3jcmWK,341101, 4}]
13,Respuesta Cero,07piZvs54drv7466oPLTt0,0.625,0.523,7,-7.079,1,0.105,0.702,1.39E-05,0.106,0.657,169.933, audio_features, 07piZvs54drv7466oPLTt0, spotify:track:07piZvs54drv7466oPLTt0, https://api.spotify.com/v1/tracks/07piZvs54drv7466oPLTt0, https://api.spotify.com/v1/audio-analysis/07piZvs54drv7466oPLTt0,203952, 4}]
14,Nonstop,7ANJlQ67bYtNz0rNUFL0E2,0.733,0.578,9,-8.175,1,0.0889,0.11,0,0.456,0.293,139.045, audio_features, 7ANJlQ67bYtNz0rNUFL0E2, spotify:track:7ANJlQ67bYtNz0rNUFL0E2, https://api.spotify.com/v1/tracks/7ANJlQ67bYtNz0rNUFL0E2, https://api.spotify.com/v1/audio-analysis/7ANJlQ67bYtNz0rNUFL0E2,229658, 4}]
15,No Me digas Nada,15wMJJiVpt2ABQw032Rywi,0.49,0.692,7,-4.291,1,0.274,0.336,0,0.659,0.484,102.16, audio_features, 15wMJJiVpt2ABQw032Rywi, spotify:track:15wMJJiVpt2ABQw032Rywi, https://api.spotify.com/v1/tracks/15wMJJiVpt2ABQw032Rywi, https://api.spotify.com/v1/audio-analysis/15wMJJiVpt2ABQw032Rywi,148386, 1}]
16,Cayï¿½ï¿½ï¿½ï¿,2jeDtqfRAGJb9McjwfXN9I,0.768,0.706,5,-6.487,0,0.364,0.138,2.36E-06,0.0921,0.826,173.951, audio_features, 2jeDtqfRAGJb9McjwfXN9I, spotify:track:2jeDtqfRAGJb9McjwfXN9I, https://api.spotify.com/v1/tracks/2jeDtqfRAGJb9McjwfXN9I, https://api.spotify.com/v1/audio-analysis/2jeDtqfRAGJb9McjwfXN9I,215172, 4}]
17,Rimmel,1pdK71OIQBAEHHSZ3pUggO,0.666,0.63,0,-8.054,1,0.116,0.67,9.80E-06,0.083,0.702,104.98, audio_features, 1pdK71OIQBAEHHSZ3pUggO, spotify:track:1pdK71OIQBAEHHSZ3pUggO, https://api.spotify.com/v1/tracks/1pdK71OIQBAEHHSZ3pUggO, https://api.spotify.com/v1/audio-analysis/1pdK71OIQBAEHHSZ3pUggO,180577, 4}]
