Artist ID,Artist Name,Artist Popularity,Artist genre
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,85,"['boy band', 'pop', 'post-teen pop', 'talent show']"
0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,64,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,70,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap', 'uk pop', 'viral rap']"
2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,75,"['folk-pop', 'neo-singer-songwriter']"
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,77,"['folk-pop', 'stomp and holler']"
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,81,"['electro', 'filter house']"
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,76,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']"
4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men,68,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']"
5nCi3BB41mBaMH9gfr6Su0,fun.,67,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']"
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,76,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'uk pop']"
5M0lbkGluOPXLeFjApw8r8,DRAM,62,"['pop rap', 'rap', 'virginia hip hop']"
63MQldklfxkjYDoUE4Tppz,M83,70,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']"
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,82,"['east coast hip hop', 'hip hop', 'rap']"
7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,62,"['double drumming', 'indie folk', 'la indie', 'stomp and holler']"
4qBgvVog0wzW75IQ48mU7v,KYLE,66,"['pop', 'pop rap', 'rap', 'viral rap']"
6oMuImdp5ZcFhWP0ESe6mG,Migos,77,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
0c173mlxpT3dSFRgMO8XPh,Big Sean,79,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,72,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house', 'uk pop']"
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,67,"['alt z', 'dark pop', 'pop', 'post-teen pop']"
2iEvnFsWxR0Syqu2JNopAd,Smash Mouth,66,"['alternative rock', 'pop rock']"
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,77,"['latin pop', 'mexican pop']"
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,76,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'uk pop']"
3E6xrwgnVfYCrCs0ePERDz,Wisin,77,"['latin hip hop', 'reggaeton', 'trap latino']"
0eecdvMrqBftK0M1VKhaF4,CNCO,71,"['boy band', 'latin pop', 'reggaeton']"
21451j1KhjAiaYKflxBjr1,Zion & Lennox,79,"['latin hip hop', 'reggaeton', 'trap latino']"
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,79,"['kentucky hip hop', 'pop', 'r&b', 'rap', 'trap']"
5EvFsr3kj42KNv97ZEnqij,Shaggy,73,"['pop rap', 'reggae fusion']"
23zg3TcAtWQy7J6upgbUnj,Usher,79,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
4obzFoKoKRHIphyHzJ35G3,Becky G,81,"['latin viral pop', 'pop', 'rap latina', 'reggaeton']"
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,88,"['puerto rican pop', 'reggaeton', 'trap latino']"
56oDRnqbIiwx4mymNEv7dS,Lizzo,81,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
3ICflSq6ZgYAIrm2CTkfVP,The Animals,64,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'protopunk', 'psychedelic rock', 'rock']"
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,73,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']"
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,78,"['british invasion', 'classic rock', 'rock']"
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,78,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']"
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,77,"['album rock', 'classic rock', 'hard rock', 'rock']"
0uq5PttqEjj3IH1bzwcrXF,Spice Girls,68,"['dance pop', 'europop', 'girl group']"
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,79,"['alternative metal', 'nu metal', 'rap metal']"
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,72,"['emo rap', 'rap', 'trap']"
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,76,"['dance pop', 'pop', 'urban contemporary']"
47MpMsUfWtgyIIBEFOr4FE,Lunay,73,"['latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']"
2RDOrhPqAM4jzTRCEb19qX,Sheck Wes,66,"['rap', 'trap', 'vapor trap']"
1MIVXf74SZHmTIp4V4paH4,Mabel,70,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
0vR2qb8m9WHeZ5ByCbimq2,Reik,79,"['latin arena pop', 'latin pop', 'mexican pop']"
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,80,"['argentine hip hop', 'trap argentino', 'trap latino']"
1r4hJ1h58CWwUQe3MxPuau,Maluma,85,"['reggaeton', 'reggaeton colombiano', 'trap latino']"
6USMTwO0MNDnKte5a5h0xx,Y2K,63,['pop rap']
0xRXCcSX89eobfrshSVdyu,MEDUZA,76,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop house', 'tropical house']"
6nS5roXSAGhTGr34W6n7Et,Disclosure,74,"['edm', 'house', 'pop', 'uk dance', 'uk pop']"
0awl5piYwO0CDTHEkCjUhn,Nico & Vinz,63,['pop rap']
3Gm5F95VdRxW3mqCn8RPBJ,Amin��,70,"['hip hop', 'pop', 'portland hip hop', 'rap']"
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,84,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
4gwpcMTbLWtBUlOijbVpuu,Capital Cities,67,"['metropopolis', 'modern rock']"
6FBDaR13swtiWwGhX1WQsP,blink-182,80,"['pop punk', 'punk', 'rock', 'socal pop punk']"
2cGwlqi3k18jFpUyTrsR84,The Verve,66,"['alternative rock', 'britpop', 'neo mellow', 'permanent wave', 'pop rock', 'rock', 'shoegaze']"
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,76,"['album rock', 'classic rock', 'hard rock', 'rock']"
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,71,"['contemporary country', 'country', 'country pop', 'country road']"
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,71,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
