Album ID,Album Name,Artist ID,Track ID
77jAfTh3KH9K2reMOmTgOh,This Is Acting,4gzpq5DPGxSnKTe4SA8HAU,0nbXyq5TXYPCO7pr3N8S4I
4PgleR09JVnm3zY1fW3XBA,24K Magic,5MouCg6ta7zAxsfMEbc1uh,3LlAyCYU26dvFZBDUIMb7a
6ozp33PI3p9AdddB6ZL3xQ,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],4npEfmQ6YuiwW1GpUmaq3F,0JP9xo3adEtGSdUEISiszL
6nYfHQnvkvOTNHnOhDT3sr,BE,7uaIm6Pw7xplS8Dy06V6pT,1SC5rEoYDGUK4NfG82494W
3ThQ5dvf9wlqB0C7evh5nH,Red Pill Blues (Deluxe),6XyY86QOPPrYVGvF9ch6wz,5Z01UMMf7V1o0MzF86s6WJ
0CnQ0JQajNswRjPkNYVG8m,Handwritten,3QSQFmccmX81fWCUSPTS7y,4MzXwWMhyBbmu6hOcLVD49
02tTjKlh9iQ5jlWYPbKLJZ,See You Again (feat. Charlie Puth),7gP3bB2nilZXLfPHJhMdvc,5nujrmhLynf4yMoMtj8AQF
5C0YLr4OoRGFDaqdMQmkeH,VIDA,6bmlMHgSheBauioMgKv2tn,5Z9KJZvQzH6PFmb8SNkxuk
7lqieLm717j9Z8JrG7POkS,I met you when I was 18. (the playlist),5cj0lLjcoR7YOSnhnX0Po5,27SdWb2rFzO6GWiYDBTD9j
4rFrdkSWs0dtj0rWPzOk1v,Lukas Graham,5H1nN1SzW0qNeUEZvuXjAj,0KKkJNfGyhkQ5aFogxQAPU
623PL2MBg50Br5dLXC9E9e,BLAME IT ON BABY,0vRvGUQVUjytro0xpb26bs,5wj4E6IsrVtn8IBJQOd0Cl
04G0YylSjvDQZrjOfE5jA5,We Sing. We Dance. We Steal Things.,5ZsFI1h6hIdQRw2ti0hz81,5QDLhrAOJJdNAmCTJ8xMyW
2D0Hi3Jj6RFnpWDcSa0Otu,Youngblood (Deluxe),20JZFwl6HVl6yg8a4H3ZqK,6V1bu6o1Yo5ZXnsCJU8Ovk
5bU1XKYxHhEwukllT20xtk,AM,3qm84nBOXUEQ2vnTfUTTFC,3zkWCteF82vJwv0hRLba76
3wBabo4pmzsYjALMSKY7Iq,Illuminate (Deluxe),0X2BH1fck6amBIoJhDVmmJ,7wqSzGeodspE3V6RBD5W8L
65ayND23IInUPHJKsaAqe7,TROLLS (Original Motion Picture Soundtrack),6MDME20pz9RveH9rEXvrOM,6habFhsOp2NvshLv26DqMb
2Auw0pTT6EcQdvHNimhLQI,V,0PFtn5NtBbbUNbU9EAmIWF,2P91MQbaiQOfbiz9VqhqKQ
2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,5NGO30tJxFlKixkPSgXcFE,5kqIPrATaCc2LqxVWzQGbk
4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy,790FomKkXshlbRYZFtlgla,7ytR5pFWmSjzHJIeQkgog4
3J8W9AOjQhnBLCX33m3atT,Heathens,6T5tfhQCknKG4UnH90qGnz,1EzrEOXmMH3G43AXT1y7pA
3kndSWeE2IYOrZEToZrHEV,Nine Track Mind,2qxJFvFYMEDqd7ui6kSAcq,2iUXsYOEPhVqEBwsqP70rE
2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),1vyhD5VmyZ7KMfW5gqLgo5,3jfr0TF6DQcOLat8gGn7E2
21HMAUrbbYSj9NiPPlGumy,Jazz (Deluxe Remastered Version),1l8Fu6IkuTP0U5QetQJ5Xt,7JJmb5XwzOO8jgpou264Ml
0mZIUXje90JtHxPNzWsJNR,Voicenotes,6LuN9FCkKOj5PcnpouEgny,1WkMMavIMc4JZ8cfMmxHkI
7viNUmZZ8ztn2UB4XB3jIL,2014 Forest Hills Drive,1RyvyyTE3xzB2ZywiAwp0i,2iuZJX9X9P0GKaE93xcPjk
43wpzak9OmQfrjyksuGwp0,Escape (Bonus Track Version),3iri9nBFs9e4wN7PLIetAw,4xkOaSrkexMciUUogZKVTS
1azUkThwd2HfUDdeNeT147,21,2AsusXITU8P25dlRNhcAbG,58q2HKrzhC3ozto2nDdN4z
7dQ734EW0iLvQfF6vBFNiZ,FRIENDS KEEP SECRETS,23fqKkggKUBHNkbKtXEls4,6i0V12jOa3mr6uu4WYhUBr
4IRiXE5NROxknUSAUSjMoO,7 EP,6DIS6PRrLS3wbnZsf7vYic,43zdsphuZLzwA9k4DJhU0I
0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,1zNqDE7qDGCsyzJwohVaoX,4G8gkOterJn0Ywt6uhqbhp
1QwWTLYn9dntAj7l9FRJwY,Me 4 U,6fOMl44jA4Sp5b9PpYCkzz,75ZvA4QfFiZvzhj2xkaWAh
6wPXUmYJ9mOWrKlLzZ5cCa,The Game (Deluxe Remastered Version),6vWDO969PvNqNYHIOW5v0m,37FXw5QGFN7uwwsLy8uAc0
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans,73sIBHcqh3Z3NyqHKZ7FOL,5ghIJDpPoe3CfHMGu71E6T
26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,3fMbdgg4jU18AjLCKBhRSm,7hQJA50XrCWABAu5v6QZ4i
6FdNvoO5sF4EKwCX9je1MH,1000 Forms Of Fear (Deluxe Version),1Cs0zKBU1kc0i8ypK3B9ai,5cF0dROlMOK5uNZtivgu50
2wiPF3m0ylst0JSk1IvZL8,Divinely Uninspired To A Hellish Extent (Extended Edition),2jzc5TC5TVFLXQlBNiIUzE,62vpWI1CHwFy7tMIcSStl8
0D7yJonn41qsrIQ7YdWk2z,Nicotine,3v6Ji4uoWtKRkhuDUaxi9n,4bHsxqR3GMrXTxEPLuK5ue
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,4xRYI6VqpkE3UwrDrAZL8L,4kflIGfjdZJW4ot2ioixTB
2MFS6WG6jnPAgvJpV3PehR,Carte Blanche,64M6ah0SkkRsnPGtGiRAbb,7FGq80cy8juXBCD2nrqdWU
3pEgGUv379EDinvg1TN7Kt,This Is What You Came For,7H55rcKCfwqkyDFH9wpKM6,2YpeDb67231RjR0MgVLzsG
4AdZV63ycxFLF6Hcol0QnB,Starboy,60d24wfXkVzDSfLS6hyCjZ,75JFxkI2RXiU7L9VXzMkle
6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),4iHNK0tOyZPYnBU7nGAgpQ,023OVLNzXhX0j7CxswUt6D
0K4pIOOsfJ9lK8OjrZfXzd,25,5LHRHt1k9lMyONurDHEdrp,57JVGBtBLCfHw2muk5416J
61G7KL6rpj167r6H4CzS8C,A Place We Knew,5pKCCKE2ajJHZ9KAiaK11H,7BqBn9nzAq8spo5e7cZ0dJ
3Kmo85mapQ2wTaCAHBkKsK,Cold Water,7EQ0qTo7fWT7DPxmxtSYEc,2Z8WuEywRWYTKe1NybPQEW
7Kmmw7Z5D2UD5MVwdm10sT,Torches,0QHgL1lAIqAw0HtD7YldmP,6RsWqX8zABZLhZydXxEFOm
2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head),0C8ZW7ezQVs4URX5aX7Kqx,4B0JvthVoAAuygILe3n4Bs
1nAQbHeOWTfQzbOoFrvndW,Planet Her,7gOdHgIoIKoe4i9Tta6qdD,7DnAm9FOTWE3cUvso43HhI
3pHFjWCK7d5YLtEuFwfR5N,54+1,4F84IBURUo98rz4r61KF70,2s1sdSqGcKxpPr5lCl7jAV
6HJDrXs0hpebaRFKA1sF90,ROXANNE,0ECwFtbIWEVNwjlrfc6xoL,3swc6WTsr7rl9DqQKQA55C
1DF9B2hfwX4EdgEFwGcRwh,Icarus Falls,4VMYDCV2IEDYJArk749S6m,2gMXnyrvIjhVBUZwvLZDMP
5VML6S956h4YfoYPooqLEi,Fifty Shades Darker (Original Motion Picture Soundtrack),1Xylc3o4UrD53lo9CvFvVg,0Aqi7ArnBrGblW5T6p2jmD
58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,0lAWpj5szCSwM4rUMHYmrr,4Dvkj6JhhA12EX05fT7y2e
6ZG5lRT77aJ3btmArcykra,Parachutes,3PhoLpVuITZKcymswpck5b,0KoiMHhqKLoL4xM54rcWYY
2Jg7JZ0ZXOGje1bkq7CVgK,In The Lonely Hour,4QQgXkCYTt3BlENzhyNETg,0azC730Exh71aQlOt9Zj3y
6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked,5IH6FPUwQTxPSXurCrcIov,5GXAXm5YOmYT0kL5jHvYBt
28yHV3Gdg30AiB8h8em1eW,Appetite For Destruction,2wUjUUtkb5lvLKcGKsKqsR,60a0Rd6pjrkxjPbaKzXjfq
20Ol6zZ0nLlc5EGTH1zA0j,Delirium (Deluxe),5INjqkS1o8h1imAzPqGZBb,7xQAfvXzm3AkraOtGPWIZg
1MvF4ulZKH7SaDQs9rE5nc,What Is Love? (Deluxe Edition),02kJSzxNuaWGqwubyUba0Z,4sPmO7WMQUAf45kwMOtONw
62U7xIHcID94o20Of5ea4D,Toto IV,6ltzsmQQbmdoHHbLZ4ZN25,5qrSlOut2rNAWv3ubArkNy
5W9OT0a5iZlBr83a9WMKFY,Synchronicity (Remastered 2003),711MCceyCBcFnzjGY4Q7Un,7zsXy7vlHdItvUSH8EwQss
2bw00gRKNKbTFOqCkohbSh,Silence,4ofCBoyEiGSePFAG500xev,7w87IxuO7BDcJ3YUqCyMTT
5CS8E6JVACItYto4OOJoPW,KG0516,2RdwBSPQiwcmiDo9kixcl8,76cy1WJvNGJTj78UqeA5zr
3Wv4X8OA65pGpFzBkuUgAh,DNCE,3FUY2gzHeIiaesXtOAdB7A,7eJMfftS33KTjuF7lTsMCx
7nEiwcUSwycvC77kZ9ub7c,The Middle,6MPCFvOQv5cIGfw3jODMF0,3DarAbFujv6eYNliUTyqtz
5kprdYds6oZb4iSldfflOT,Vibras,0DxeaLnv6SyYk2DOqkLO8c,6ifUES3keWjwXgae8pXI3o
32iAEBstCjauDhyKpGjTuq,=,5zctI4wO9XSKS8XwcnqEHk,696DnlkuDOXcMAnKlTgXXK
0pF0oyuPNdOObniB1Ng0kW,7/27 (Deluxe),7pFeBzX627ff0VnN6bxPR4,3e7sxremeOE3wTySiOhGiP
6kf46HbnYCZzP6rjvQHYzg,American Teen,2gsggkzM5R49q6jpPvazou,2y5aJvzXhHPA94U5GFAcXe
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2XnBwblw31dfGnspMIwgWz,0nJW01T7XtvILxQgC5J7Wh
1BmxOYHjQv1dKZRr13YRZM,FRIENDS,5p7f24Rk5HkUZsaS3BLG5F,3AJwUDP919kvQ9QcozQPxg
4YtTX4GPvBvewbJvBfXCS2,FUTURE,0EmeFodog0BfCgMzAIvKQp,0fioLzGM8ngbD1w6fMmm45
3L0H4RjVXpEkwfDgi3XOdf,us,2cFrymmkijnjDg9SS92EPM,1rqqCSm0Qe4I9rUvWncaom
2uDTi1PlpSpvAv7IRAoAEU,HIGHEST IN THE ROOM,7hJcb9fa4alzcOq3EaNPoG,7lQ8MOhq6IN2w8EYcFNSUk
1HjSyGjmLNjRAKgT9t1cna,Making Mirrors,5K4W6rqBFWDnAN6FQUkS6x,7snQQk1zcKl8gZ92AnueZW
4VNy5ifZtW3E9SgffbGEti,It Ain't Me,4DdkRBBYG6Yk9Ka8tdJ9BW,3zHq9ouUJQFQRf3cm1rRLu
3mNoFlD1wsoXfkljfFzExT,TALKING IS HARD,4kI8Ie27vjvonwaB2ePh8T,2hrUO4drrO63i7FYbCLBl2
7lPoGKpCGgdKFAxpudhAH5,Speak Your Mind (Deluxe),08GQAI4eElDnROBrJRGE0X,2374M0fQpWi3dLnB54qaLX
1KOmHyNLuOe5YrPhD3Juuf,Perception,0TnOYISbd1XYRBk9myaseg,1JSTJqkT5qHq8MDJnJbRE1
23Y5wdyP5byMFktZf8AcWU,I AM...SASHA FIERCE,0ZED1XzwlLHW4ZaG4lOT6m,7vGuf3Y35N4wmASOKLUVVU
4xnq1L6P551Qcb9gBXNMK7,"""Awaken, My Love!""",58lV9VcRSjABbAbfWS6skp,0dKg2vGC1hFqcK5LGTaKzX
1C2h7mLntPSeVYciMRTF4a,Thriller 25 Super Deluxe Edition,329e4yvIujISKGKz1BZZbO,76hfruVvmfQbw0eYn1nmeC
5aprcHwM1KJhaY9Kbxkfkn,Nothing but the Beat 2.0,4Ga1P7PMIsmqEZqhYZQgDo,09IStsImFySgyp0pIQdqAc
1ER3B6zev5JEAaqhnyyfbf,Hunting High and Low,1hzfo8twXdOegF3xireCYs,2G7V7zsVDxg1yRsu7Ew9RJ
1c79SozES9Eb3Lzf9KVaIa,In My Mind,4QVBYiagIaa6ZGSPMbybpy,7COfe3P7KgfwDwIRB8LIDw
3OZgEywV4krCZ814pTJWr7,Dangerous Woman,6S2OmqARrzebs0tKUEyXyp,3rmo8F54jFF8OgYsqTxm5d
1HiN2YXZcc3EjmVZ4WjfBk,Everybody,3AQRLZ9PuTAozP28Skbq8V,4tCtwWceOPWzenK2HAIJSb
6t5D6LEgHxqUVOxJItkzfb,All Your Fault: Pt. 2,5f7VJjfbwm532GiveGC0ZK,5Z3GHaZ6ec9bsiI5BenrbY
15yvc643iYfQtb6zh9NEJo,A Thousand Years,2sil8z5kiy4r76CRTXxBCA,4iJyoBOLtHqaGxP12qzhQI
1FOJ5IXGXe8dl0cXvCU6wK,In the Name of Love,3t5xRXzsuZmMDkQzgOX35S,08bNPGLD8AhKpnnERrAc6G
0xc5IpJM39eEEYSKDrm5kf,Hot Space (Deluxe Remastered Version),2txHhyCwHjUEpJjWrEyqyX,3rOSwuTsUlJp0Pu0MkN8r8
61ulfFSmmxMhc2wCdmdMkN,Merry Christmas,5YGY8feqx7naU7z4HrwZM6,7vRriwrloYVaoAe3a9wJHe
5x7JzoE4A3DwwU6FPt8qws,Overexposed,3y24n3XhZ96wgwRXjvS17T,7AQim7LbvFVZJE3O8TYgf2
0h2knr6qpiAq0tV5ri5JMF,The Days / Nights,5rSXSAkZ67PYJSvpUpkOr7,3eekarcy7kvN4yt5ZFzltW
6hHIX3lfGKnZ2ji41YZMVV,Legendary,2l35CQqtYRh3d8ZIiBep4v,4wCmqSrbyCgxEXROQE6vtV
1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends,1uU7g3DNSbsu0QjSEqZtEd,12GEpg2XOPyqk03JZEZnJs
19O3rXe4nDu9YDcc2tOQVn,ANTI (Deluxe),45dkTj5sMRSjrmBSBeiHym,4kbj5MwxO1bq9wjT5g9HaA
7KBjLhk3IM27k3ry4vBk3i,Unorthodox Jukebox,2R21vXR83lH98kGeO99Y66,2BgEsaKNfHUdlh97KmvFyo
64fQ94AVziavTPdnkCS6Nj,Bad Blood,0L8ExT028jH3ddEcZwqJJ5,3jjujdWJ72nww5eGnfs2E7
1lXY618HWkwYKJWBRYR4MK,More Life,6DPYiyq5kWVQS4RGwxzPC7,70eFcWOvlMObDhURTqT4Fv
3tx8gQqWbGwqIGZHqDNrGe,Sweetener,4Z8W4fKeB5YxbusRsdQVPb,52okn5MNA47tk87PeZJLEL
3HhZbSJdhOqMSaRbEt3gtw,Grateful,5hdhHgpxyniooUiQVaPxQ0,3ERa3mEeOnrh2Mc47qM6T1
4i3rAwPw7Ln2YrKDusaWyT,everything i wanted,33ScadVnbm2X8kkUqOkC6Z,3kxfsdsCpFgN412fpnW85Y
5gQZvWM1o8NkQndueJtZcP,Wolves,4Uc8Dsxct0oMqx0P6i60ea,5ChkMS8OtdzJeqyybCc9R5
1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,4EzkuveR9pLvDVFNx6foYD,0lHAMNU8RGiIObScrsRgmP
6D9urpsOWWKtYvF6PaorGE,Elephant,07YZf4WDAMNwqr4jfgOZ8y,1CkvWZme3pRgbzaxZnTl5X
2widuo17g5CEC66IbzveRu,Hotel California (2013 Remaster),1HxJeLhIuegM3KgvPn8sTa,2WfaOiMkCvy7F5fcp2zZ8L
1otwHKoQ5KPaiekpYk4tWh,Con Calma,4MVyzYMgTwdP7Z49wAZHx0,0E9ZjEAyAwOXZ7wJC0PD33
5YLRVHDVRw3QqWbeTGpC5B,So Good,56mfhUDKa1vec6rSLZV5Eg,152lZdxL1OR0ZMW6KquMif
2qJw6w5XwQO0PQlSWPu7Tw,Chosen,0u6GtibW46tFX7koQ6uNJZ,1pKeFVVUOPjFsOABub0OaV
40GMAhriYJRO1rsY4YdrZb,Views,6PXS4YHDkKvl1wkIl4V8DL,5tz69p7tJuGPeMGwNTxYuV
06S3Qjh4QWLtn6c7CVhYh7,Callaita,6jJ0s89eD6GaHleKKya26X,7iDa6hUg2VgEL1o1HjmfBn
7wHczdY0ek3FHnfVhk10om,The Lockdown Sessions,1HBjj22wzbscIZ9sEb5dyf,6lanRgr6wXibZr8KgzXxBl
2FW0uQ4WL25umm5p2VrZO7,"The Best Of Earth, Wind & Fire Vol. 1",3rIZMv9rysU7JkLzEaC5Jp,5QO79kh1waicV47BqGRL3g
