Album ID,Album Name
2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head)
1nAQbHeOWTfQzbOoFrvndW,Planet Her
3pHFjWCK7d5YLtEuFwfR5N,54+1
6HJDrXs0hpebaRFKA1sF90,ROXANNE
1DF9B2hfwX4EdgEFwGcRwh,Icarus Falls
5VML6S956h4YfoYPooqLEi,Fifty Shades Darker (Original Motion Picture Soundtrack)
58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox
6ZG5lRT77aJ3btmArcykra,Parachutes
2Jg7JZ0ZXOGje1bkq7CVgK,In The Lonely Hour
6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked
2cWBwpqMsDJC1ZUwz813lo,The Eminem Show
28yHV3Gdg30AiB8h8em1eW,Appetite For Destruction
20Ol6zZ0nLlc5EGTH1zA0j,Delirium (Deluxe)
1MvF4ulZKH7SaDQs9rE5nc,What Is Love? (Deluxe Edition)
62U7xIHcID94o20Of5ea4D,Toto IV
5W9OT0a5iZlBr83a9WMKFY,Synchronicity (Remastered 2003)
2bw00gRKNKbTFOqCkohbSh,Silence
5CS8E6JVACItYto4OOJoPW,KG0516
3Wv4X8OA65pGpFzBkuUgAh,DNCE
7nEiwcUSwycvC77kZ9ub7c,The Middle
1ATL5GLyefJaxhQzSPVrLX,Scorpion
5kprdYds6oZb4iSldfflOT,Vibras
32iAEBstCjauDhyKpGjTuq,=
0pF0oyuPNdOObniB1Ng0kW,7/27 (Deluxe)
6kf46HbnYCZzP6rjvQHYzg,American Teen
5dGWwsZ9iB2Xc3UKR0gif2,Justice
1BmxOYHjQv1dKZRr13YRZM,FRIENDS
4YtTX4GPvBvewbJvBfXCS2,FUTURE
3L0H4RjVXpEkwfDgi3XOdf,us
5VdyJkLe3yvOs0l4xXbWp0,17
2uDTi1PlpSpvAv7IRAoAEU,HIGHEST IN THE ROOM
1HjSyGjmLNjRAKgT9t1cna,Making Mirrors
4VNy5ifZtW3E9SgffbGEti,It Ain't Me
